Feature,Importance
BCBGEAS,21.570108143272996
BCBG16B,7.456288122652454
BCBG14G,6.999146659902658
BCBG14H,6.366608264587717
BCBG14E,6.247812633020818
BCBG14I,5.885931373233292
BCBG16A,5.598952986055416
BCBG14F,5.3234159983566105
BCBG15H,5.001311006917076
BCBG15F,4.517520514582246
BCBG15E,3.91260283205126
BCBG15C,3.7383040932438343
BCBG15A,3.7074840205103814
BCBG15G,3.574633135198638
BCBG15D,3.2518519056162534
BCBG14J,3.1841020446007624
BCBG15B,2.303210860894373
BCDGEAS,1.3607154053032866
