iter	Passed	Remaining
432	16873	2610
433	16912	2571
434	16949	2532
435	16989	2493
436	17029	2455
437	17060	2415
438	17093	2375
439	17124	2335
440	17163	2296
441	17203	2257
442	17237	2217
443	17275	2178
444	17304	2138
445	17341	2099
446	17372	2059
447	17412	2021
448	17448	1981
449	17483	1942
450	17518	1903
451	17559	1864
452	17589	1824
453	17624	1785
454	17656	1746
455	17697	1707
456	17729	1668
457	17763	1628
458	17797	1589
459	17831	1550
460	17865	1511
461	17905	1472
462	17940	1433
463	17976	1394
464	18015	1355
465	18053	1317
466	18093	1278
467	18132	1239
468	18169	1200
469	18207	1162
470	18244	1123
471	18284	1084
472	18316	1045
473	18352	1006
474	18393	968
475	18426	929
476	18456	889
477	18492	851
478	18530	812
479	18568	773
480	18600	734
481	18640	696
482	18675	657
483	18712	618
484	18751	579
485	18780	540
486	18815	502
487	18849	463
488	18882	424
489	18922	386
490	18962	347
491	18996	308
492	19030	270
493	19063	231
494	19095	192
495	19132	154
496	19164	115
497	19202	77
498	19241	38
499	19277	0
